fips,state,percAllPets,percDogOwners,percCatOwners,rank,adult_AMI,adult_abuse,adult_suicide,youth_MDE,youth_abuse,youth_severeMDE
1,Alabama,59.8,46.9,26.1,22,19.35,7.9,3.51,5.67,5.8,9.56
2,Alaska,,,,49,18.63,9.65,4.21,4.65,6.3,9.4
4,Arizona,58,43,26.4,29,18.34,9.31,4.04,6.38,8.3,10.91
5,Arkansas,69,51.6,34.8,6,20.46,7.93,4.59,5.67,5.7,10.17
6,California,40.1,0,22.9,48,18.54,9.08,3.79,5.83,7.3,10.48
8,Colorado,47.2,27.1,0,45,17.19,10.07,3.8,6.68,7.9,9.66
9,Connecticut,50,24,26.7,39,17.26,8.65,3.72,5.29,6.6,9.4
10,Delaware,57.9,42.2,24.1,30,18.38,9.58,3.99,5.68,6.1,9.44
12,Florida,56,39.8,24.2,31,16.91,8.07,3.51,5.72,6.6,9.64
13,Georgia,51,36.7,20.4,38,18.8,7.53,3.66,5.13,4.1,8.49
15,Hawaii,,,,50,18.14,8.86,4.06,6.81,6.7,9.75
16,Idaho,70,33.3,34.4,3,19.97,8.59,4.19,5.94,6.8,10.55
17,Illinois,48.6,32.4,21,42,16.68,8.03,3.52,4.79,6.5,9.31
18,Indiana,69.2,49.4,37.5,5,19.59,9.12,4.13,5.94,7.7,9.82
19,Iowa,59,36.3,35.6,24,18.03,8.22,4.19,5.02,7.2,9.87
20,Kansas,62.8,43.1,32.4,14,17.64,8.79,3.84,5.12,5.3,9.09
21,Kentucky,64.1,46.5,32.2,9,19.68,8.2,4.04,6.07,6.6,9.31
22,Louisiana,54,38.3,19,33,20.08,8.39,4.35,4.73,7.6,10.03
23,Maine,63.5,35.9,43.6,11,21.36,8.89,4.44,5.2,10.3,11.2
24,Maryland,48.6,30.2,18.6,43,16.55,8.31,3.51,5.18,9.6,10.28
25,Massachusetts,49,28.9,23.5,41,19.34,9.23,4.08,5.55,4.8,8.61
26,Michigan,62.4,41.9,31.2,15,20.05,9.09,4.53,5.82,7.8,10.19
27,Minnesota,54,35.5,26.5,34,17.95,8.78,3.94,4.93,5.1,8.2
28,Mississippi,65.5,51,29.1,7,19.12,8.01,3.87,5.69,5.4,8.98
29,Missouri,63.5,45.1,0,12,19.07,8.66,4.05,5.76,7.6,9.91
30,Montana,62,51.9,22.8,17,19.87,10.48,4.17,6.84,5,9.23
31,Nebraska,51.3,47.1,30.9,37,17.99,9.72,4.1,6.49,4.4,8.8
32,Nevada,53,36.8,23.1,35,18.38,9.56,3.84,5.83,5.9,9.62
33,New Hampshire,52,23.7,36.4,36,18.64,9.58,3.81,6.82,6.5,10.27
34,New Jersey,47.4,29.1,18.9,44,15.62,7.84,3.76,5.16,6,9.06
35,New Mexico,60,39.4,25.2,21,19.33,9.83,3.76,7.2,7.2,10.73
36,New York,50,27,21.1,40,18.69,8.47,3.67,5.82,5.9,8.76
37,North Carolina,59,41.3,26.5,25,18.47,8.69,4.33,5.88,8.8,9.64
38,North Dakota,63.7,44.3,24.8,10,16.35,10.22,3.96,5.84,3.8,7.95
39,Ohio,62.4,37.9,30.7,16,19.69,8.69,3.93,5.16,6.5,9.81
40,Oklahoma,65,47.7,28.4,8,20.48,8.81,4.01,4.87,6.2,9.23
41,Oregon,59.2,37.8,30,23,22.31,9.54,4.39,6.49,10.8,12.65
42,Pennsylvania,60.6,38.9,28.9,20,17.96,8.52,3.91,5.74,6.6,9.54
44,Rhode Island,45.4,25.8,16.7,47,20.13,11.18,4.33,6.48,9.7,11.32
45,South Carolina,62,45.3,25.2,18,18.04,8.24,4.07,5.74,7.4,9.44
46,South Dakota,46,32.1,26.6,46,17.05,9.42,3.74,5.04,6,8.61
47,Tennessee,61.7,47,30.9,19,20.52,7.63,3.99,5.18,6.1,9.39
48,Texas,58.2,43.4,20.5,28,18.11,8.23,3.61,5.82,7,10.47
49,Utah,58.5,36.2,24.7,27,22.3,7.43,4.84,4.56,7.4,11.45
50,Vermont,70,28.3,44.6,4,19.74,9.47,4.59,6.56,6.8,9.5
51,Virginia,55.5,35.6,23.9,32,17.56,8.81,3.8,5.64,9.4,10.96
53,Washington,63,42.8,30.5,13,19.85,9.76,4.38,5.85,8.7,11.08
54,West Virginia,71,49.6,37.7,2,21.73,8.44,4.71,5.7,6.2,9.34
55,Wisconsin,59,33.6,32.4,26,18.33,9.73,3.95,6.22,10.5,11.4
56,Wyoming,71.8,36,30,1,19.1,9.96,4.14,6.69,7.5,10.41